,year,co2,gdp
5913,1912,0.018,3308826112.0
5914,1913,0.062,3974380032.0
5915,1914,0.147,4544274432.0
5916,1915,0.205,4944763904.0
5917,1916,0.55,4543474176.0
5918,1917,0.652,5734960640.0
5919,1918,0.671,6110256128.0
5920,1919,0.769,6519441920.0
5921,1920,1.11,6332875264.0
5922,1921,1.414,7859630080.0
5923,1922,2.004,8891872256.0
5924,1923,2.583,7754507776.0
5925,1924,2.506,7897353216.0
5926,1925,2.964,6843330048.0
5927,1926,3.4,8799028224.0
5928,1927,3.378,8458825728.0
5929,1928,3.807,10709926912.0
5930,1929,4.115,13898990592.0
5931,1930,3.671,13890965504.0
5932,1931,2.708,13865146368.0
5933,1932,1.795,12856039424.0
5934,1933,1.59,13106755584.0
5935,1934,1.733,13447899136.0
5936,1935,1.806,13145466880.0
5937,1936,2.048,14509881344.0
5938,1937,2.345,16123379712.0
5939,1938,1.913,13097291776.0
5940,1939,1.704,13638105088.0
5941,1940,2.568,11069058048.0
5942,1941,2.184,10958042112.0
5943,1942,0.66,14913863680.0
5944,1947,0.685,9859344384.0
5945,1948,1.19,11186658304.0
5946,1949,1.22,14788840448.0
5947,1950,3.655,15987990528.0
5948,1951,5.22,15105320960.0
5949,1952,6.371,15824946176.0
5950,1953,6.499,15901922304.0
5951,1954,7.004,16904214528.0
5952,1955,7.43,17014372352.0
5953,1956,7.563,18039670784.0
5954,1957,3.513,17947285504.0
5955,1958,3.832,17939273728.0
5956,1959,3.183,19161571328.0
5957,1960,4.201,20557094912.0
5958,1961,4.685,21987710976.0
5959,1962,4.777,23236757504.0
5960,1963,5.828,24334878720.0
5961,1964,7.399,25880614912.0
5962,1965,8.38,27746652160.0
5963,1966,9.834,29125220352.0
5964,1967,10.128,29621778432.0
5965,1968,10.53,32227313664.0
5966,1969,9.138,34076721152.0
5967,1970,14.586,36156456960.0
5968,1971,16.663,38820380672.0
5969,1972,17.901,41749893120.0
5970,1973,17.505,47796125696.0
5971,1974,19.045,51361124352.0
5972,1975,19.445,51780284416.0
5973,1976,23.898,58225278976.0
5974,1977,22.621,62980902912.0
5975,1978,23.26,68504293376.0
5976,1979,27.306,74075578368.0
5977,1980,28.033,80232407040.0
5978,1981,30.878,85915672576.0
5979,1982,30.642,91022696448.0
5980,1983,38.048,96580485120.0
5981,1984,34.794,104084234240.0
5982,1985,36.33,103003217920.0
5983,1986,40.102,104308424704.0
5984,1987,40.878,109808533504.0
5985,1988,42.869,119529209856.0
5986,1989,50.084,130700369920.0
5987,1990,54.269,143192113152.0
5988,1991,65.785,157980852224.0
5989,1992,72.961,173287833600.0
5990,1993,86.719,191825428480.0
5991,1994,90.631,211032850432.0
5992,1995,113.934,233476947968.0
5993,1996,113.442,258686615552.0
5994,1997,122.085,279679762432.0
5995,1998,114.238,260986650624.0
5996,1999,108.291,279023157248.0
5997,2000,126.203,305415979008.0
5998,2001,133.988,309255241728.0
5999,2002,135.118,328308785152.0
6000,2003,156.521,349844013056.0
6001,2004,171.102,376296144896.0
6002,2005,181.333,397908672512.0
6003,2006,178.785,423206289408.0
6004,2007,182.455,453156765696.0
6005,2008,201.985,478516183040.0
6006,2009,200.713,474711556096.0
6007,2010,215.935,514171994112.0
6008,2011,216.994,545368309760.0
6009,2012,213.288,575191121920.0
6010,2013,242.166,602189201408.0
6011,2014,245.329,638408589312.0
6012,2015,235.702,670135287808.0
6013,2016,252.061,698530070528.0
6014,2017,248.202,738639609856.0
6015,2018,267.087,773658509312.0
6016,1959,0.048,3723623424.0
6017,1960,0.121,3825021952.0
6018,1961,0.117,3851526912.0
6019,1962,0.139,3869142528.0
6020,1963,0.176,4135129088.0
6021,1964,0.176,4328651264.0
6022,1965,0.198,4385209344.0
6023,1966,0.191,4570413568.0
6024,1967,0.224,4726339072.0
6025,1968,0.198,4898682368.0
6026,1969,0.161,4876830720.0
6027,1970,0.202,5180024832.0
6028,1971,0.227,5359572480.0
6029,1972,0.245,5632969216.0
6030,1973,0.267,5496109056.0
6031,1974,0.304,5363370496.0
6032,1975,0.341,6105587712.0
6033,1976,0.34,6938859520.0
6034,1977,0.413,7410136576.0
6035,1978,0.395,7211770368.0
6036,1979,0.428,8945926144.0
6037,1980,0.391,7893522944.0
6038,1981,0.395,7633887744.0
6039,1982,0.365,7198211584.0
6040,1983,0.417,7514189824.0
6041,1984,0.435,7840599040.0
6042,1985,0.405,8016483840.0
6043,1986,0.38,8528636416.0
6044,1987,0.358,8685988864.0
6045,1988,0.383,8679173120.0
6046,1989,0.416,9552949248.0
6047,1990,0.422,9628796928.0
6048,1991,0.426,10269519872.0
6049,1992,0.463,9995125760.0
6050,1993,0.503,10249530368.0
6051,1994,0.548,10520796160.0
6052,1995,0.595,10736651264.0
6053,1996,0.646,11389968384.0
6054,1997,0.727,11793164288.0
6055,1998,0.934,12008589312.0
6056,1999,0.971,12634194944.0
6057,2000,1.066,12490369024.0
6058,2001,1.161,14257387520.0
6059,2002,1.209,14544527360.0
6060,2011,2.279,20518699008.0
6061,2012,2.437,20330371072.0
6062,2013,2.743,20797007872.0
6063,2014,3.099,22278942720.0
6064,2015,3.271,23621842944.0
6065,2016,3.337,24912134144.0
6066,2017,3.55,26166958080.0
6067,2018,3.675,27521622016.0
6068,1950,0.245,490733536.0
6069,1951,0.256,513364736.0
6070,1952,0.242,538568896.0
6071,1953,0.231,564384192.0
6072,1954,0.308,589687232.0
6073,1955,0.341,606732160.0
6074,1956,0.297,675241920.0
6075,1957,0.311,683462144.0
6076,1958,0.33,725974720.0
6077,1959,0.388,739990080.0
6078,1960,0.341,782856000.0
6079,1961,0.293,776424320.0
6080,1962,0.33,743564864.0
6081,1963,0.41,742526528.0
6082,1964,0.498,758173696.0
6083,1965,0.473,810357376.0
6084,1966,0.414,897839104.0
6085,1967,0.52,960179008.0
6086,1968,0.638,1056411456.0
6087,1969,0.652,1124134784.0
6088,1970,0.663,1266137856.0
6089,1971,0.66,1297640960.0
6090,1972,0.839,1373229568.0
6091,1973,0.806,1429604352.0
6092,1974,0.744,1573297152.0
6093,1975,0.667,1881157376.0
6094,1976,0.762,2201402112.0
6095,1977,0.802,2469906944.0
6096,1978,0.934,2745470976.0
6097,1979,0.905,3033430528.0
6098,1980,1.022,3246888960.0
6099,1981,1.143,3354326016.0
6100,1982,1.312,3431474688.0
6101,1983,0.997,3410439936.0
6102,1984,1.363,3442460160.0
6103,1985,1.198,3531468800.0
6104,1986,1.484,3668678912.0
6105,1987,1.854,3819621376.0
6106,1988,2.012,4140703488.0
6107,1989,2.169,4479557120.0
6108,1990,2.394,4761399808.0
6109,1991,2.238,5061075456.0
6110,1992,2.292,5300727296.0
6111,1993,2.87,5540228096.0
6112,1994,2.648,5855593984.0
6113,1995,2.439,6229765120.0
6114,1996,2.551,6467464192.0
6115,1997,2.557,6810149888.0
6116,1998,2.514,7162084864.0
6117,1999,2.592,7503059968.0
6118,2000,2.507,8014503936.0
6119,2001,2.648,8066432512.0
6120,2002,2.688,8310288384.0
6121,2003,2.961,8525085184.0
6122,2004,2.82,8566343168.0
6123,2005,2.645,8894058496.0
6124,2006,2.662,9060388864.0
6125,2007,2.731,9425146880.0
6126,2008,2.74,9744470016.0
6127,2009,2.528,9508432896.0
6128,2010,2.589,9849064448.0
6129,2011,2.577,9990638592.0
6130,2012,2.726,10262471680.0
6131,2013,2.379,10776326144.0
6132,2014,2.364,11795842048.0
6133,2015,1.665,12842327040.0
6134,2016,1.356,13651020800.0
6135,2017,1.531,14540544000.0
6136,2018,1.547,15606394880.0
6137,1959,0.033,946374016.0
6138,1960,0.037,1019820992.0
6139,1961,0.048,1194259968.0
6140,1962,0.062,1168792960.0
6141,1963,0.088,1096928000.0
6142,1964,0.117,1423024000.0
6143,1965,0.161,1622809984.0
6144,1966,0.18,1630140032.0
6145,1967,0.198,1688931968.0
6146,1968,0.234,1837278976.0
6147,1969,0.275,1808324992.0
6148,1970,0.429,1995372032.0
6149,1971,0.399,2009762944.0
6150,1972,0.447,2014162944.0
6151,1973,0.469,1997388032.0
6152,1974,0.484,2166599936.0
6153,1975,0.509,2385395968.0
6154,1976,0.517,2543970048.0
6155,1977,0.557,2536352000.0
6156,1978,0.583,2346203904.0
6157,1979,0.605,2582884096.0
6158,1980,0.63,2598690048.0
6159,1981,0.634,2704691968.0
6160,1982,0.883,2495375872.0
6161,1983,0.938,2559344128.0
6162,1984,0.872,2503909888.0
6163,1985,0.656,2587945984.0
6164,1986,0.374,2739492096.0
6165,1987,3.243,2799555072.0
6166,1988,3.184,2834516992.0
6167,1989,2.803,2940273920.0
6168,1990,0.854,2908675072.0
6169,1991,0.868,3053303296.0
6170,1992,0.905,3186885632.0
6171,1993,0.927,3536022016.0
6172,1994,0.956,3783132416.0
6173,1995,1.015,3768651776.0
6174,1996,1.063,4253698560.0
6175,1997,1.077,4166595328.0
6176,1998,1.07,4371026432.0
6177,1999,1.096,4762457088.0
6178,2000,1.114,4838789632.0
6179,2001,1.172,5040767488.0
6180,2002,1.249,5178323968.0
6181,2003,1.29,5603752960.0
6182,2004,1.385,6050710528.0
6183,2005,1.436,6728916992.0
6184,2006,1.422,8166141440.0
6185,2007,1.638,8570478592.0
6186,2008,1.773,8846256128.0
6187,2009,1.96,8935093248.0
6188,2010,2.045,9559709696.0
6189,2011,2.154,10187327488.0
6190,2012,2.448,10792467456.0
6191,2013,2.169,11410721792.0
6192,2014,2.566,12165303296.0
6193,2015,3.002,12316128256.0
6194,2016,2.627,12527539200.0
6195,2017,3.42,12897399808.0
6196,2018,3.664,13278341120.0
6197,1950,0.202,1897166336.0
6198,1951,0.139,2005341056.0
6199,1952,0.176,2067257088.0
6200,1953,0.187,2147444352.0
6201,1954,0.187,2268535808.0
6202,1955,0.128,2340984576.0
6203,1956,0.22,2429783040.0
6204,1957,0.22,2522199040.0
6205,1958,0.209,2593491200.0
6206,1959,0.224,2743225600.0
6207,1960,0.18,2915554560.0
6208,1961,0.187,3579466240.0
6209,1962,0.253,3606026240.0
6210,1963,0.209,4108479232.0
6211,1964,0.308,3825201664.0
6212,1965,0.304,3949144832.0
6213,1966,0.275,3809641472.0
6214,1967,0.498,3974170880.0
6215,1968,0.638,3700822528.0
6216,1969,0.572,3882656512.0
6217,1970,0.498,3867180288.0
6218,1971,0.396,4040543488.0
6219,1972,0.689,4365640704.0
6220,1973,0.678,4881502720.0
6221,1974,0.692,5272936960.0
6222,1975,0.59,5339330048.0
6223,1976,0.619,6521699328.0
6224,1977,0.641,6948120064.0
6225,1978,0.63,7214675968.0
6226,1979,0.66,7468042752.0
6227,1980,0.59,6716996096.0
6228,1981,0.542,7111819264.0
6229,1982,0.502,7502798336.0
6230,1983,0.597,7532347392.0
6231,1984,0.627,7891903488.0
6232,1985,0.707,8434796032.0
6233,1986,0.799,9255124992.0
6234,1987,0.931,10196916224.0
6235,1988,0.854,10886205440.0
6236,1989,1.052,11383072768.0
6237,1990,1.462,12196699136.0
6238,1991,1.521,12478497792.0
6239,1992,1.707,13020290048.0
6240,1993,1.773,13435076608.0
6241,1994,1.623,13759042560.0
6242,1995,1.828,14115228672.0
6243,1996,1.949,14580008960.0
6244,1997,1.997,15156261888.0
6245,1998,2.169,15794113536.0
6246,1999,2.426,15922504704.0
6247,2000,2.689,16925978624.0
6248,2001,2.862,17186686976.0
6249,2002,2.884,17171389440.0
6250,2003,3.059,17855117312.0
6251,2004,3.089,18301759488.0
6252,2005,3.294,18300743680.0
6253,2006,3.627,18854696960.0
6254,2007,3.686,19614978048.0
6255,2008,3.767,20333457408.0
6256,2009,3.708,20585805824.0
6257,2010,3.913,21054191616.0
6258,2011,3.917,21489166336.0
6259,2012,3.964,22182113280.0
6260,2013,4.067,22889261056.0
6261,2014,4.206,23718518784.0
6262,2015,4.21,24548311040.0
6263,2016,4.346,25506041856.0
6264,2017,4.536,26478841856.0
6265,2018,4.514,27474712576.0
6266,1928,24.083,42612346880.0
6267,1929,22.148,40904998912.0
6268,1930,20.379,38351773696.0
6269,1931,16.752,39644639232.0
6270,1932,16.195,33623099392.0
6271,1933,16.741,37516165120.0
6272,1934,18.892,40136318976.0
6273,1935,21.426,43177517056.0
6274,1936,21.961,46533758976.0
6275,1937,24.903,48076341248.0
6276,1938,24.265,48848695296.0
6277,1939,22.664,51520790528.0
6278,1940,23.209,52206080000.0
6279,1941,22.546,57374789632.0
6280,1942,18.977,60655644672.0
6281,1943,19.058,62923501568.0
6282,1944,20.124,68156530688.0
6283,1945,22.615,71385513984.0
6284,1946,25.623,76266209280.0
6285,1947,29.352,79008686080.0
6286,1948,30.509,82416173056.0
6287,1949,28.959,87151427584.0
6288,1950,30.508,99982983168.0
6289,1951,34.889,107605073920.0
6290,1952,37.212,111714836480.0
6291,1953,36.707,111774670848.0
6292,1954,36.27,123074543616.0
6293,1955,39.662,133695447040.0
6294,1956,42.134,143014019072.0
6295,1957,49.278,154173456384.0
6296,1958,54.008,162674933760.0
6297,1959,58.287,167866105856.0
6298,1960,63.052,182206283776.0
6299,1961,65.24,191492751360.0
6300,1962,63.744,200713961472.0
6301,1963,66.292,217178570752.0
6302,1964,74.2,243167756288.0
6303,1965,75.168,258981937152.0
6304,1966,80.845,276900085760.0
6305,1967,90.006,294308773888.0
6306,1968,93.887,318504927232.0
6307,1969,102.176,338814337024.0
6308,1970,113.951,362723672064.0
6309,1971,126.187,376060510208.0
6310,1972,132.271,406222045184.0
6311,1973,144.058,437262843904.0
6312,1974,154.727,461217267712.0
6313,1975,164.139,486091816960.0
6314,1976,183.74,505910525952.0
6315,1977,192.394,521365323776.0
6316,1978,222.116,567422156800.0
6317,1979,240.259,621948436480.0
6318,1980,267.744,678622134272.0
6319,1981,283.707,737336098816.0
6320,1982,303.905,733602840576.0
6321,1983,277.566,708391993344.0
6322,1984,276.649,734058512384.0
6323,1985,287.371,751167275008.0
6324,1986,293.412,728181047296.0
6325,1987,306.022,741613764608.0
6326,1988,305.666,751820210176.0
6327,1989,323.48,782981332992.0
6328,1990,317.042,823577542656.0
6329,1991,330.133,865148665856.0
6330,1992,332.78,902108282880.0
6331,1993,338.067,925343285248.0
6332,1994,351.528,972991954944.0
6333,1995,331.597,916478951424.0
6334,1996,345.766,971219795968.0
6335,1997,368.645,1045710700544.0
6336,1998,388.357,1105636622336.0
6337,1999,390.516,1156619567104.0
6338,2000,396.066,1241194692608.0
6339,2001,410.698,1251502718976.0
6340,2002,411.968,1275458093056.0
6341,2003,437.758,1306677477376.0
6342,2004,438.857,1373060333568.0
6343,2005,463.993,1427076808704.0
6344,2006,476.565,1510627082240.0
6345,2007,479.787,1572355440640.0
6346,2008,492.98,1607400947712.0
6347,2009,475.903,1543872708608.0
6348,2010,463.783,1637760630784.0
6349,2011,484.165,1716060815360.0
6350,2012,501.569,1785373786112.0
6351,2013,495.485,1810561761280.0
6352,2014,484.114,1851266170880.0
6353,2015,479.52,1899585208320.0
6354,2016,479.79,1923887267840.0
6355,2017,465.621,1964635193344.0
6356,2018,475.269,2006599729152.0
6357,1950,0.286,527383008.0
6358,1951,0.293,549932992.0
6359,1952,0.3,575918976.0
6360,1953,0.304,603174016.0
6361,1954,0.487,632592000.0
6362,1955,0.59,663384000.0
6363,1956,0.689,698220032.0
6364,1957,0.762,736470016.0
6365,1958,1.136,776536000.0
6366,1959,1.345,822164992.0
6367,1960,1.293,870960000.0
6368,1961,1.392,922097984.0
6369,1962,1.971,975660032.0
6370,1963,1.601,1026876032.0
6371,1964,2.045,1089646976.0
6372,1965,1.957,1152130048.0
6373,1966,1.953,1216353024.0
6374,1967,2.151,1290300032.0
6375,1968,2.48,1362873984.0
6376,1969,2.682,1443446016.0
6377,1970,2.847,1530048000.0
6378,1971,3.032,1598617984.0
6379,1972,3.276,1659175936.0
6380,1973,3.472,1806080000.0
6381,1974,3.741,1882825984.0
6382,1975,4.055,2005602048.0
6383,1976,4.39,2083287040.0
6384,1977,4.961,2246159872.0
6385,1978,5.764,2416164096.0
6386,1979,6.277,2516051968.0
6387,1980,6.855,2677789952.0
6388,1981,6.615,2903515904.0
6389,1982,6.712,3145476096.0
6390,1983,6.969,3328024064.0
6391,1984,6.425,3523040000.0
6392,1985,8.998,3725435904.0
6393,1986,9.595,4076226048.0
6394,1987,10.483,4221095936.0
6395,1988,11.493,4436184064.0
6396,1989,10.459,4620239872.0
6397,1990,9.791,4502882816.0
6398,1991,11.96,4287970048.0
6399,1992,10.943,4068637696.0
6400,1993,9.193,4139237888.0
6401,1994,7.865,4442844672.0
6402,1995,7.837,4952892928.0
6403,1996,7.935,5318280704.0
6404,1997,7.615,5799569920.0
6405,1998,7.622,6297035264.0
6406,1999,7.488,6816929792.0
6407,2000,7.432,7225650688.0
6408,2001,7.804,7799420416.0
6409,2002,8.197,8569503232.0
6410,2003,7.931,9616039936.0
6411,2004,8.501,11156312064.0
6412,2005,8.515,12547451904.0
6413,2006,9.281,14288905216.0
6414,2007,11.958,16520107008.0
6415,2008,11.918,18865760256.0
6416,2009,13.026,19534581760.0
6417,2010,13.772,21791068160.0
6418,2011,21.368,26811267072.0
6419,2012,35.0,30114910208.0
6420,2013,43.478,33619040256.0
6421,2014,29.626,36271697920.0
6422,2015,23.282,37107212288.0
6423,2016,25.629,37463158784.0
6424,2017,34.135,39174762496.0
6425,2018,45.316,41531756544.0
6426,1952,0.25,738279872.0
6427,1953,0.248,658542784.0
6428,1954,0.296,672027776.0
6429,1955,0.339,906050112.0
6430,1956,0.387,833396608.0
6431,1957,0.421,941011648.0
6432,1958,0.415,929082752.0
6433,1959,0.475,1000887808.0
6434,1960,0.519,1125566848.0
6435,1961,0.544,1367533952.0
6436,1962,0.559,1350981248.0
6437,1963,0.621,1544307968.0
6438,1964,0.704,1815759872.0
6439,1965,0.724,1866975872.0
6440,1966,0.718,1960336000.0
6441,1967,0.725,2001634816.0
6442,1968,0.775,2102971520.0
6443,1969,0.804,2318464512.0
6444,1970,1.051,2498790400.0
6445,1971,1.132,2596450560.0
6446,1972,1.061,2747091712.0
6447,1973,1.268,2745526272.0
6448,1974,1.273,2924740096.0
6449,1975,1.329,3026087936.0
6450,1976,1.371,3183128576.0
6451,1977,1.333,3527339776.0
6452,1978,1.49,3723088128.0
6453,1979,1.621,3724750336.0
6454,1980,1.594,4475520000.0
6455,1981,1.735,4276287232.0
6456,1982,1.594,4382248960.0
6457,1983,1.716,4305015296.0
6458,1984,1.81,4371068928.0
6459,1985,1.846,4374625792.0
6460,1986,1.928,4528319488.0
6461,1987,1.882,4323439104.0
6462,1988,1.942,4192552960.0
6463,1989,1.936,4213823744.0
6464,1990,1.915,3852049152.0
6465,1991,1.355,3585538560.0
6466,1992,1.483,2862750464.0
6467,1993,1.294,1856250880.0
6468,1994,1.257,1915098752.0
6469,1995,1.327,2226638592.0
6470,1996,1.553,2909671936.0
6471,1997,1.67,3194862336.0
6472,1998,1.758,3442988032.0
6473,1999,1.212,3205303552.0
6474,2000,1.521,3766656000.0
6475,2001,1.667,4003584768.0
6476,2002,1.766,4290322944.0
6477,2003,1.889,4622735872.0
6478,2004,2.041,5084312064.0
6479,2005,1.751,5587145728.0
6480,2006,2.063,6395709440.0
6481,2007,2.056,7462959616.0
6482,2008,2.605,8414771200.0
6483,2009,1.682,8371377664.0
6484,2010,2.422,9033098240.0
6485,2011,2.407,9801452544.0
6486,2012,2.213,9593079808.0
6487,2013,2.151,9985414144.0
6488,2014,2.107,10205667328.0
6489,2015,2.239,10689585152.0
6490,2016,2.015,10966155264.0
6491,2017,2.103,11443806208.0
6492,2018,2.4,11980409856.0
6493,1950,2.56,21667307520.0
6494,1951,2.926,22388535296.0
6495,1952,3.563,23128557568.0
6496,1953,4.171,23881492480.0
6497,1954,3.584,24674734080.0
6498,1955,3.555,25487884288.0
6499,1956,3.519,25647724544.0
6500,1957,3.054,25812570112.0
6501,1958,3.267,25980993536.0
6502,1959,3.369,26141022208.0
6503,1960,3.636,26312833024.0
6504,1961,3.771,27230300160.0
6505,1962,3.075,28176150528.0
6506,1963,3.954,29166698496.0
6507,1964,4.415,30203185152.0
6508,1965,4.254,31254994944.0
6509,1966,5.46,32995102720.0
6510,1967,5.408,34843127808.0
6511,1968,5.62,36768419840.0
6512,1969,5.817,38839439360.0
6513,1970,7.282,40982290432.0
6514,1971,8.186,43295739904.0
6515,1972,8.028,44317380608.0
6516,1973,9.613,45895618560.0
6517,1974,11.099,48382644224.0
6518,1975,11.065,51629449216.0
6519,1976,11.49,57286406144.0
6520,1977,12.625,60121202688.0
6521,1978,12.992,61864816640.0
6522,1979,15.85,64683995136.0
6523,1980,15.818,70582902784.0
6524,1981,15.718,68608385024.0
6525,1982,16.905,75240267776.0
6526,1983,17.627,74825392128.0
6527,1984,17.645,77950836736.0
6528,1985,17.682,82816245760.0
6529,1986,18.684,89314713600.0
6530,1987,19.905,87281655808.0
6531,1988,20.931,96219234304.0
6532,1989,22.661,98443649024.0
6533,1990,22.298,102154764288.0
6534,1991,23.688,109721313280.0
6535,1992,24.737,107626446848.0
6536,1993,26.779,107015757824.0
6537,1994,28.124,118566420480.0
6538,1995,28.75,112179724288.0
6539,1996,29.525,125860003840.0
6540,1997,29.978,123716861952.0
6541,1998,30.881,132482457600.0
6542,1999,31.986,133796593664.0
6543,2000,33.199,136310685696.0
6544,2001,36.806,146279415808.0
6545,2002,37.306,150893953024.0
6546,2003,36.57,159964561408.0
6547,2004,42.226,167760838656.0
6548,2005,44.661,173624639488.0
6549,2006,46.249,187290255360.0
6550,2007,48.913,194460172288.0
6551,2008,51.369,206522777600.0
6552,2009,50.86,215877484544.0
6553,2010,54.365,224738361344.0
6554,2011,54.868,237165936640.0
6555,2012,56.954,244646084608.0
6556,2013,56.606,256075628544.0
6557,2014,57.175,262911197184.0
6558,2015,58.495,275091619840.0
6559,2016,58.457,279436951552.0
6560,2017,61.472,291271114752.0
6561,2018,63.01,299980095488.0
6562,1950,0.901,11288300544.0
6563,1951,0.93,11682688000.0
6564,1952,1.073,12106181632.0
6565,1953,1.081,12521399296.0
6566,1954,1.143,12821422080.0
6567,1955,1.373,13610702848.0
6568,1956,1.553,13674600448.0
6569,1957,1.769,13977537536.0
6570,1958,1.817,14640388096.0
6571,1959,1.794,15440678912.0
6572,1960,1.882,15803766784.0
6573,1961,2.63,16254504960.0
6574,1962,1.985,17384923136.0
6575,1963,1.659,16757463040.0
6576,1964,2.139,17473570816.0
6577,1965,2.003,17873012736.0
6578,1966,2.124,18449391616.0
6579,1967,1.871,19714344960.0
6580,1968,2.776,21933672448.0
6581,1969,3.238,24541458432.0
6582,1970,2.981,25847554048.0
6583,1971,3.611,27615576064.0
6584,1972,3.296,28506685440.0
6585,1973,3.559,30122514432.0
6586,1974,3.146,27833833472.0
6587,1975,2.882,23348168704.0
6588,1976,2.555,22228555776.0
6589,1977,2.706,22400397312.0
6590,1978,2.866,22577504256.0
6591,1979,2.635,22910892032.0
6592,1980,3.198,23539593216.0
6593,1981,2.479,23984674816.0
6594,1982,2.524,23311740928.0
6595,1983,1.954,21637191680.0
6596,1984,1.511,21051279360.0
6597,1985,1.135,19149770752.0
6598,1986,0.977,19438522368.0
6599,1987,0.977,20141754368.0
6600,1988,1.006,21301645312.0
6601,1989,1.035,22168203264.0
6602,1990,0.989,22495834112.0
6603,1991,0.949,22102102016.0
6604,1992,1.038,19279767552.0
6605,1993,1.192,19284152320.0
6606,1994,1.08,18783670272.0
6607,1995,1.109,17625141248.0
6608,1996,1.092,20572901376.0
6609,1997,1.17,20995043328.0
6610,1998,1.112,21637912576.0
6611,1999,1.168,21504905216.0
6612,2000,1.322,20141916160.0
6613,2001,1.554,20943671296.0
6614,2002,1.537,21025374208.0
6615,2003,1.856,20673806336.0
6616,2004,1.864,20561729536.0
6617,2005,1.77,20658225152.0
6618,2006,1.916,20951971840.0
6619,2007,2.189,20803538944.0
6620,2008,2.18,20553353216.0
6621,2009,2.439,20249942016.0
6622,2010,2.635,20039610368.0
6623,2011,3.107,19919628288.0
6624,2012,3.055,21418940416.0
6625,2013,3.582,23018831872.0
6626,2014,7.921,24796993536.0
6627,2015,6.313,26497042432.0
6628,2016,8.159,27447091200.0
6629,2017,6.949,28473886720.0
6630,2018,7.08,29449971712.0
6631,1931,2.935,21091145728.0
6632,1936,3.111,20985888768.0
6633,1938,3.089,19051100160.0
6634,1950,0.802,12296711168.0
6635,1951,0.916,14069449728.0
6636,1952,1.132,14386939904.0
6637,1953,1.304,14772086784.0
6638,1954,1.462,13842403328.0
6639,1955,1.421,15661146112.0
6640,1956,1.656,16703266816.0
6641,1957,2.099,17669511168.0
6642,1958,2.411,17186248704.0
6643,1959,2.777,19875870720.0
6644,1960,2.715,20532299776.0
6645,1961,2.59,21001740288.0
6646,1962,2.88,22834237440.0
6647,1963,2.634,23503929344.0
6648,1964,2.857,23902437376.0
6649,1965,2.725,24513335296.0
6650,1966,2.806,23494006784.0
6651,1967,3.616,24167890944.0
6652,1968,2.927,25735239680.0
6653,1969,3.213,26819960832.0
6654,1970,4.612,28023011328.0
6655,1971,5.099,28931649536.0
6656,1972,4.894,29129007104.0
6657,1973,4.107,29264168960.0
6658,1974,4.671,30781976576.0
6659,1975,4.583,32064124928.0
6660,1976,4.893,34051362816.0
6661,1977,5.166,36056281088.0
6662,1978,5.146,38395412480.0
6663,1979,5.086,40182624256.0
6664,1980,5.509,43641085952.0
6665,1981,5.623,46093434880.0
6666,1982,5.58,48612245504.0
6667,1983,5.754,50756362240.0
6668,1984,6.549,53220601856.0
6669,1985,6.676,54736506880.0
6670,1986,6.756,54201446400.0
6671,1987,4.943,51998273536.0
6672,1988,4.087,46103011328.0
6673,1989,4.425,47782109184.0
6674,1990,4.236,49171472384.0
6675,1991,4.137,48063922176.0
6676,1992,4.842,51891175424.0
6677,1993,5.303,54198382592.0
6678,1994,6.196,57338249216.0
6679,1995,6.907,60452843520.0
6680,1996,7.203,63378620416.0
6681,1997,7.445,65935163392.0
6682,1998,8.036,68698886144.0
6683,1999,8.93,75075469312.0
6684,2000,10.179,84093542400.0
6685,2001,8.832,92175081472.0
6686,2002,9.286,101591490560.0
6687,2003,9.944,113781440512.0
6688,2004,12.513,127115616256.0
6689,2005,11.521,142039121920.0
6690,2006,12.779,158028611584.0
6691,2007,12.798,174123352064.0
6692,2008,9.73,177512906752.0
6693,2009,10.163,183291527168.0
6694,2010,13.079,189724114944.0
6695,2011,15.039,197359075328.0
6696,2012,11.822,211845251072.0
6697,2013,12.722,229512151040.0
6698,2014,15.849,247629414400.0
6699,2015,21.887,265615310848.0
6700,2016,21.14,282251788288.0
6701,2017,23.63,298481287168.0
6702,2018,34.783,317599023104.0
6703,1991,1.055,7919438336.0
6704,1992,1.15,8581783552.0
6705,1993,1.389,8429547008.0
6706,1994,1.572,9059104768.0
6707,1995,1.619,9444600832.0
6708,1996,1.722,9761131520.0
6709,1997,1.77,10188013568.0
6710,1998,1.817,10539251712.0
6711,1999,1.663,10909879296.0
6712,2000,1.605,11306642432.0
6713,2001,2.012,11455887360.0
6714,2002,1.788,12022087680.0
6715,2003,1.883,12213628928.0
6716,2004,1.971,13656686592.0
6717,2005,2.312,14023657472.0
6718,2006,2.338,15036091392.0
6719,2007,2.264,15867124736.0
6720,2008,2.704,16311734272.0
6721,2009,2.763,16383498240.0
6722,2010,2.84,17398968320.0
6723,2011,2.782,18309781504.0
6724,2012,3.355,19237945344.0
6725,2013,2.568,20326299648.0
6726,2014,3.678,21637730304.0
6727,2015,3.851,22783369216.0
6728,2016,4.051,23031048192.0
6729,2017,4.216,23016767488.0
6730,2018,4.155,23095486464.0
6731,1950,0.026,7209979904.0
6732,1951,0.029,7414175744.0
6733,1952,0.029,7667805184.0
6734,1953,0.037,8138560000.0
6735,1954,0.04,8309793792.0
